                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7834,                 1.2717,                 1.0057,                0.94214,                0.93464,                0.97304,                0.79591,                0.60493,                 1.0031,                0.89958,              0.0033079,              0.0033079,              0.0033079
                      2,                0.80125,                0.81337,                 1.0108,                0.94394,                0.89432,                 0.9651,                0.75822,                0.70196,                0.76439,                0.96862,              0.0066284,              0.0066284,              0.0066284
                      3,                0.88106,                0.79499,                 1.0523,                0.90405,                0.87111,                 0.9289,                0.69355,                 0.8735,                 0.7775,                 1.1014,               0.009936,               0.009936,               0.009936
                      4,                0.93326,                0.79255,                 1.0977,                 0.8729,                0.82468,                 0.9065,                0.67211,                0.91043,                0.84918,                 1.1166,               0.009942,               0.009942,               0.009942
                      5,                 0.9146,                0.71695,                 1.0908,                0.91304,                0.87721,                0.94157,                0.71341,                0.85423,                0.70257,                 1.0817,               0.009942,               0.009942,               0.009942
                      6,                0.89515,                 0.6838,                 1.0863,                0.85567,                 0.7587,                0.85368,                0.60762,                 1.0185,                 1.0522,                 1.2161,              0.0099227,              0.0099227,              0.0099227
                      7,                0.89191,                0.67805,                 1.0869,                0.90663,                0.83047,                0.91183,                0.68079,                0.92958,                 0.7909,                 1.1532,              0.0099033,              0.0099033,              0.0099033
                      8,                0.86082,                0.64351,                 1.0751,                0.92786,                0.84851,                0.92245,                0.69651,                0.89908,                0.72017,                 1.1228,               0.009884,               0.009884,               0.009884
                      9,                0.83729,                0.61676,                  1.062,                0.91508,                0.88638,                0.94944,                0.75936,                0.75279,                0.58186,                 1.0211,              0.0098646,              0.0098646,              0.0098646
                     10,                0.83274,                0.60615,                 1.0636,                 0.9417,                0.90287,                0.96311,                0.77126,                0.73832,                0.52239,                 1.0179,              0.0098453,              0.0098453,              0.0098453
                     11,                0.81218,                0.58564,                 1.0519,                0.93612,                0.87783,                0.94836,                0.74901,                0.78732,                0.59742,                 1.0513,               0.009826,               0.009826,               0.009826
                     12,                0.81096,                0.58972,                 1.0547,                 0.9483,                0.88516,                0.95947,                0.77975,                0.70885,                0.51767,                0.99844,              0.0098066,              0.0098066,              0.0098066
                     13,                0.79399,                0.57456,                 1.0431,                0.92293,                0.87785,                0.94243,                0.73853,                0.78883,                0.58843,                 1.0566,              0.0097873,              0.0097873,              0.0097873
                     14,                0.78988,                0.55769,                 1.0455,                0.93883,                0.89126,                 0.9603,                0.76811,                0.74353,                0.50888,                 1.0138,               0.009768,               0.009768,               0.009768
                     15,                 0.7806,                 0.5564,                 1.0402,                0.95134,                0.88377,                0.95628,                 0.7715,                0.72042,                0.51797,                  1.011,              0.0097486,              0.0097486,              0.0097486
                     16,                0.77528,                0.54775,                 1.0401,                0.95067,                0.89474,                 0.9617,                0.79987,                 0.6772,                0.47165,                0.97905,              0.0097293,              0.0097293,              0.0097293
                     17,                0.78124,                0.54705,                 1.0439,                0.94903,                0.91387,                0.97127,                 0.8002,                 0.6716,                0.46897,                0.98009,                0.00971,                0.00971,                0.00971
                     18,                0.75904,                 0.5305,                 1.0306,                0.95617,                0.91947,                0.97194,                0.80848,                0.65025,                0.43165,                0.97087,              0.0096906,              0.0096906,              0.0096906
                     19,                0.76607,                0.53555,                 1.0351,                0.94852,                0.91998,                 0.9698,                0.80066,                0.66164,                0.44887,                0.96235,              0.0096713,              0.0096713,              0.0096713
                     20,                0.75135,                0.51912,                 1.0302,                0.93816,                0.90825,                0.96701,                0.79746,                0.67723,                0.45254,                0.98331,               0.009652,               0.009652,               0.009652
