                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7834,                 1.2717,                 1.0057,                0.94214,                0.93464,                0.97304,                0.79591,                0.60493,                 1.0031,                0.89958,              0.0033079,              0.0033079,              0.0033079
                      2,                0.80391,                0.81503,                 1.0118,                0.95861,                0.91958,                0.97295,                0.77637,                0.67995,                 0.7061,                0.93973,              0.0066155,              0.0066155,              0.0066155
                      3,                0.88013,                  0.796,                  1.057,                0.89632,                0.80635,                0.90376,                0.65141,                0.93037,                0.85179,                 1.1214,              0.0098974,              0.0098974,              0.0098974
                      4,                0.93441,                0.78205,                 1.0977,                0.87438,                0.76665,                 0.8714,                0.62521,                 1.0089,                0.98694,                 1.1967,               0.009884,               0.009884,               0.009884
                      5,                0.91657,                0.72034,                 1.0932,                0.90457,                0.82346,                0.90102,                0.66347,                0.97735,                0.82958,                 1.1546,               0.009884,               0.009884,               0.009884
                      6,                  0.899,                0.68887,                 1.0882,                0.90393,                0.87599,                0.94362,                0.72407,                0.84028,                0.68951,                 1.0614,              0.0098453,              0.0098453,              0.0098453
                      7,                0.88479,                0.66638,                 1.0848,                0.90637,                0.83383,                0.90853,                0.65747,                0.99293,                0.79521,                  1.198,              0.0098066,              0.0098066,              0.0098066
                      8,                0.85913,                0.64093,                 1.0709,                0.93024,                0.90426,                 0.9596,                0.75024,                0.77349,                0.57975,                 1.0393,               0.009768,               0.009768,               0.009768
                      9,                0.83625,                0.60829,                 1.0583,                0.93824,                0.87783,                0.96162,                0.74779,                0.80474,                0.57612,                 1.0657,              0.0097293,              0.0097293,              0.0097293
                     10,                0.83458,                 0.6109,                 1.0658,                0.94339,                0.87543,                0.95601,                0.74979,                0.78355,                0.55568,                 1.0328,              0.0096906,              0.0096906,              0.0096906
                     11,                0.81567,                0.58537,                 1.0546,                0.91671,                0.88753,                0.94652,                0.74993,                0.76255,                0.55961,                 1.0311,               0.009652,               0.009652,               0.009652
                     12,                0.81215,                0.58621,                 1.0547,                0.94612,                0.90111,                0.96432,                0.77696,                0.70749,                0.50491,                 1.0076,              0.0096133,              0.0096133,              0.0096133
                     13,                0.78634,                0.56852,                 1.0427,                 0.9448,                0.89982,                 0.9596,                0.77465,                0.71073,                0.50163,                0.99087,              0.0095746,              0.0095746,              0.0095746
                     14,                0.78935,                0.55643,                 1.0452,                0.94704,                0.90664,                0.96683,                0.78722,                0.71324,                0.48919,                  1.001,              0.0095359,              0.0095359,              0.0095359
                     15,                0.77903,                0.55434,                 1.0409,                0.94191,                0.91387,                0.96695,                 0.7917,                0.68954,                 0.5013,                0.98349,              0.0094973,              0.0094973,              0.0094973
                     16,                0.77599,                0.54189,                 1.0381,                0.93892,                0.91203,                0.96728,                0.78504,                 0.7191,                0.48768,                 1.0026,              0.0094586,              0.0094586,              0.0094586
                     17,                0.77146,                0.54182,                 1.0386,                0.94629,                0.91265,                0.96478,                0.78941,                0.70833,                0.47184,                0.99537,              0.0094199,              0.0094199,              0.0094199
                     18,                0.75852,                0.52658,                 1.0265,                0.94437,                 0.9047,                0.96584,                0.79904,                0.67875,                0.47565,                0.98539,              0.0093813,              0.0093813,              0.0093813
                     19,                0.75848,                0.52879,                 1.0293,                0.93971,                0.92181,                0.96807,                0.79847,                0.68029,                0.46487,                0.98664,              0.0093426,              0.0093426,              0.0093426
                     20,                 0.7451,                0.51526,                 1.0263,                 0.9502,                0.92078,                0.97058,                0.80674,                0.65051,                0.42972,                0.97287,              0.0093039,              0.0093039,              0.0093039
                     21,                0.74874,                0.52395,                 1.0243,                0.94928,                0.92605,                0.97441,                0.79585,                0.67959,                0.43771,                0.98601,              0.0092652,              0.0092652,              0.0092652
                     22,                0.73483,                0.50191,                 1.0172,                 0.9621,                0.91509,                0.97118,                0.81564,                 0.6424,                0.42413,                0.96447,              0.0092266,              0.0092266,              0.0092266
                     23,                 0.7352,                0.50553,                   1.02,                0.94808,                0.92364,                0.97103,                0.80962,                   0.65,                0.43188,                0.97546,              0.0091879,              0.0091879,              0.0091879
                     24,                0.73427,                0.50541,                 1.0183,                0.96524,                0.91611,                 0.9781,                0.82062,                0.64064,                0.41994,                0.96139,              0.0091492,              0.0091492,              0.0091492
                     25,                0.72915,                0.49492,                 1.0094,                0.95439,                0.92364,                0.97243,                0.81806,                 0.6425,                0.42457,                0.95194,              0.0091105,              0.0091105,              0.0091105
                     26,                0.72069,                0.48481,                 1.0084,                0.95461,                0.91998,                0.97236,                0.81499,                0.62739,                0.43291,                0.95656,              0.0090719,              0.0090719,              0.0090719
                     27,                0.72263,                0.49316,                 1.0121,                0.96215,                0.91612,                0.97268,                0.81677,                0.64892,                0.42146,                 0.9653,              0.0090332,              0.0090332,              0.0090332
                     28,                0.71345,                0.49216,                 1.0108,                0.95955,                0.92745,                0.97479,                0.81837,                0.64991,                0.40765,                0.95451,              0.0089945,              0.0089945,              0.0089945
                     29,                0.70176,                0.47562,                0.99989,                0.95249,                 0.9157,                0.97004,                0.82557,                0.61021,                0.39877,                 0.9344,              0.0089559,              0.0089559,              0.0089559
                     30,                0.70871,                 0.4773,                 1.0072,                0.94194,                0.91814,                0.96968,                 0.8098,                 0.6312,                0.42354,                 0.9522,              0.0089172,              0.0089172,              0.0089172
                     31,                0.71067,                 0.4777,                 1.0062,                0.95803,                0.92181,                 0.9759,                0.81347,                0.63925,                0.40952,                0.96166,              0.0088785,              0.0088785,              0.0088785
                     32,                0.70291,                0.46851,                0.99933,                 0.9597,                0.91658,                0.96967,                0.81521,                0.65597,                0.42029,                0.95762,              0.0088398,              0.0088398,              0.0088398
                     33,                 0.6997,                0.46147,                  0.999,                0.94345,                0.91717,                0.96995,                0.81058,                0.64932,                0.42808,                0.97429,              0.0088012,              0.0088012,              0.0088012
                     34,                0.70351,                0.47033,                 1.0019,                0.95817,                0.92731,                0.97463,                0.82621,                0.62112,                0.40426,                0.94695,              0.0087625,              0.0087625,              0.0087625
                     35,                0.68692,                0.46435,                0.99244,                0.96078,                0.92776,                0.97741,                 0.8265,                0.60544,                0.38867,                0.94117,              0.0087238,              0.0087238,              0.0087238
                     36,                0.68701,                0.46259,                0.99708,                0.95846,                0.91692,                0.97241,                0.82251,                 0.6242,                 0.4032,                0.95938,              0.0086852,              0.0086852,              0.0086852
                     37,                0.69392,                0.46216,                0.99615,                0.95917,                0.92608,                0.97569,                0.82749,                0.63178,                0.39294,                0.94666,              0.0086465,              0.0086465,              0.0086465
                     38,                0.68644,                0.45391,                0.99471,                0.96146,                0.92969,                0.97741,                0.83977,                0.59378,                0.37132,                0.93155,              0.0086078,              0.0086078,              0.0086078
                     39,                0.68282,                0.45413,                0.99113,                0.95385,                0.93431,                0.97734,                0.83953,                0.58332,                0.37606,                0.92663,              0.0085691,              0.0085691,              0.0085691
                     40,                0.68483,                0.45718,                0.99353,                0.95942,                0.92424,                0.97458,                0.83232,                0.60552,                0.38114,                0.94555,              0.0085305,              0.0085305,              0.0085305
